Index,title,Description,tag_list,Start Date,start Time,End Time,End Date,Durations,Online Event?,locations,website,ticket,img_src,Link to page
,,,,,,,,,,,,,,
0,New York,Chào mừng cư dân NY đến với gia đình shibBây giờ bạn có thể mua shib từ NY🙏🏼🦊🚀❤️‍🔥,"['Networking', 'Online']",07-Nov-21,19:00,NO,No,No,YES,No location given,No website link,No ticket info,https://scontent.fdel11-1.fna.fbcdn.net/v/t39.30808-6/p526x296/254208298_111927114628262_8270243496252561889_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=b386c4&_nc_ohc=dmYOYphOaQsAX8y20fJ&_nc_ht=scontent.fdel11-1.fna&oh=8585e888431666832ea4c5d8c737ba4b&oe=619F9DD1,https://www.facebook.com/events/4447313315365310/
0,New York city,To enter you will need a ticket of R10.000  and we will take it from there.,['Online'],20-Jan-22,06:03,NO,No,No,YES,No location given,No website link,No ticket info,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/142946902_259500868899122_6683098143086446003_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=b386c4&_nc_ohc=N407uXsSkUkAX9_aEKu&_nc_ht=scontent.fdel11-2.fna&oh=aaae78d07954cf5b6a8e8ecb674dc361&oe=61C12428,https://www.facebook.com/events/169613824599399/
0,New York city,To enter you will need a ticket of R10.000  and we will take it from there.,['Online'],20-Jan-22,06:03,NO,No,No,YES,No location given,No website link,No ticket info,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/142934021_259501138899095_338390677839380562_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=b386c4&_nc_ohc=CdrBeWQdO2UAX91JjOL&_nc_ht=scontent.fdel11-2.fna&oh=3d24a0a5e524df3c331abde5c35ec566&oe=61BFDB3B,https://www.facebook.com/events/170829971466139/
0,New York Kings of Comedy - Charlotte,"The comedy stylings of four of New York’s most talented comedians make up the NY Kings of Comedy.  Stand up comedians Rob Stapleton, Capone, Talent Harris & Mark Viera are bringing their comedy act to the Knight Theatre for one night only.  You may have seen the Kings on popular shows like BET’s ComicView, Def Comedy Jam,     Martin Lawrence Presents and Shaq’s Comedy All Stars.  The New York Kings will have you rolling in the aisles from the moment the first King walks on the stage.  Hosted by Charlottes own comedic GrownMan Tone-X and music by DJ SNS.  This will be that once in a while event that makes you shake your head and say now that was Amazing!",['Online'],21-Nov-21,17:00,NO,No,No,YES,No location,https://tix.carolinatix.org/online/default.asp?doWork%3A%3AWScontent%3A%3AloadArticle=Load&BOparam%3A%3AWScontent%3A%3AloadArticle%3A%3Aarticle_id=57480BA9-44C8-47FE-B7FB-63E3BFC61CF2,No ticket info,https://scontent.fdel11-2.fna.fbcdn.net/v/t39.30808-6/s720x720/244182701_10224739202123759_5941129191335958609_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=b386c4&_nc_ohc=RqyC82BX3fkAX86KZzj&_nc_ht=scontent.fdel11-2.fna&oh=c5521dfb0dcf326e784ed0930a789f9a&oe=619E947A,https://www.facebook.com/events/389931152721675/
0,New York,#your srash,"['Online', 'Live video']",16-Nov-21,22:00,NO,No,No,Online with Facebook Live,Online with Facebook Live,No website link,No ticket info,https://scontent.fdel11-1.fna.fbcdn.net/v/t39.30808-6/257587477_134445498941663_2452483584540439333_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=b386c4&_nc_ohc=meV_2tRnqUUAX8wpPF6&_nc_ht=scontent.fdel11-1.fna&oh=c34b7feefbbe5e9f868e8ed34dc012ef&oe=619EF646,https://www.facebook.com/events/429188635260241/
0,50th New York City Marathon 2021,"VHV Organiseert een reis naar NYC voor lopers en supporters om de Marathon te lopen. Dit ten behoeve van Stichting Contact Hond.Disclaimer: Het event wordt georganiseerd door NYRR, en zij bepalen of het event in 2021 door zal gaan, door Covid19.","['Causes', 'Online']",07-Nov-21,10:00,NO,No,No,YES,No location given,No website link,No ticket info,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/p526x296/122877769_3331402330242086_4827269483096245546_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=b386c4&_nc_ohc=ojM2Ukm4U5kAX_ZVeDS&_nc_ht=scontent.fdel11-2.fna&oh=f9245ffcbf7e0be32b14f9de9c93501d&oe=61C1BE12,https://www.facebook.com/events/963896300769369/
0,New York Mocha Morning,"Free co-working and networking with like-minded local women in business.Our Mocha Mornings are perfect for women who want a natter and settle in for a morning of co-working. If you work from home or are a successful career woman who just needs to escape the office, then our Mocha Mornings are perfect for you.All welcome, there are no fees or charges but pre-booking is essential. You will be welcomed by the Mocha Morning leader. If you would like to be introduced to anyone in particular or a feeling a little shy let your leader know, she is there to support you in any way possible.We look forward to meeting you at a Mocha Morning, if you don't find one near to you why not start your own . We offer full support and training.",['Online'],2 d,11:00,NO,No,No,No location given,No location given,No website link,via Eventbrite,https://scontent.fdel11-1.fna.fbcdn.net/v/t1.6435-9/s526x296/154595131_2824177131165401_5395479486907648419_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=b386c4&_nc_ohc=1aZAs412qZoAX_34Elw&_nc_ht=scontent.fdel11-1.fna&oh=6fd1e68815c34e9052129bb228a2c8b2&oe=61C0A494,https://www.facebook.com/events/1616191891902698/
0,New York Women's Business Lunch,"We are delighted to bring dynamic business networking to your area allowing you to connect with other businesswomen in your local community.Join us from 11:30 for our Business Lunch where we enjoy a lovely meal, an inspiring business talk and quality networking with other like-minded executives and entrepreneurs....................................................Program:11:30 Coffee & networking12:00 Introductions12:25 Member Spotlight12:30 Lunch13:00 Talk13:30 Wonderbra session14:00 End...................................................About Women's Business Club:Connecting, supporting and empowering Business Women.Join us for our Meetups and Mastermind Boardrooms across the globe....................................................Membership Info:We are a membership club and our lunches offer professional exclusivity, non-members may visit twice before deciding whether to join us. Find out more here ....................................................FAQs:Do I have to bring my printed ticket to the event?No we have your booking on our systemWhat is the refund policy?We can't offer refunds but you are welcome to send someone else in your place.",['Online'],2 d,11:30,NO,No,No,No location given,No location given,No website link,via Eventbrite,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/s526x296/155270359_2824148111168303_711276541851888922_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=b386c4&_nc_ohc=3-VKpur1DVwAX_Q-PeP&_nc_oc=AQmH0D7ydlU7Z-K585ExCWRQVRpDJhsrHOBPlGpgbdb_3EtpPS-E9sLYxwoLClr4SV0ZBGCrNd7nEnKeA4v1oBv7&_nc_ht=scontent.fdel11-2.fna&oh=5b4525ad40bdc81cdd58954ecc9fdfc0&oe=61C1BBD7,https://www.facebook.com/events/2754220101483478/
0,Artexpo New York,artexpo New York,"['Art', 'Online']",28-Oct-21,18:00,NO,No,No,YES,No location,https://www.agora-gallery.com/Invite/Ernest_Llinas.aspx,No ticket info,https://scontent.fdel11-2.fna.fbcdn.net/v/t39.30808-6/s526x296/245066730_1691234997734398_3752596948296723603_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=b386c4&_nc_ohc=OmxyCS32g7UAX9gDIc0&_nc_ht=scontent.fdel11-2.fna&oh=2fba001a0b33b288ed4630b1d143f4f6&oe=619FA0C2,https://www.facebook.com/events/3194710370756851/
