Index,title,Description,Cetegory,tag_list,Limit age & group size,People Range,Age Range,Date & Time,TBD Text,Start Date,start Time,End Time,Durations,Repeat Every,End Date,Online Event?,locations,Cost,Price($),ticket (change to Other),website, Type,Other Image Urls,img_src (rename to Default Image),Auto Accept,Profile Video,Video Url,Link to page
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,New York city,To enter you will need a ticket of R10.000  and we will take it from there., ,['Online'], , , , , ,20-Jan-22,06:03,NO,No, ,No,YES,No location given, , ,No ticket info,No website link, , ,https://scontent.fixj1-1.fna.fbcdn.net/v/t1.6435-9/142934021_259501138899095_338390677839380562_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=b386c4&_nc_ohc=Y6xDvARLmZUAX-hlK9t&_nc_ht=scontent.fixj1-1.fna&oh=ff3e4b5b4514289c0d4534d231b0a223&oe=61C3CFBB, , , ,https://www.facebook.com/events/170829971466139/
0,New York city,To enter you will need a ticket of R10.000  and we will take it from there., ,['Online'], , , , , ,20-Jan-22,06:03,NO,No, ,No,YES,No location given, , ,No ticket info,No website link, , ,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/142946902_259500868899122_6683098143086446003_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=b386c4&_nc_ohc=IqBS_T4XKzMAX9w_yqS&_nc_ht=scontent.fdel11-2.fna&oh=064291045a1a1c387af1b6c81264c6be&oe=61C12428, , , ,https://www.facebook.com/events/169613824599399/
0,New York,Chào mừng cư dân NY đến với gia đình shibBây giờ bạn có thể mua shib từ NY🙏🏼🦊🚀❤️‍🔥, ,"['Networking', 'Online']", , , , , ,07-Nov-21,19:00,NO,No, ,No,YES,No location given, , ,No ticket info,No website link, , ,https://scontent.fixj1-1.fna.fbcdn.net/v/t39.30808-6/p526x296/254208298_111927114628262_8270243496252561889_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=b386c4&_nc_ohc=I6309pJ8_s0AX9UMPhd&_nc_ht=scontent.fixj1-1.fna&oh=72b470532eb43f3362346cd6bc88b402&oe=61A19811, , , ,https://www.facebook.com/events/4447313315365310/
0,New York,#your srash, ,"['Online', 'Live video']", , , , , ,16-Nov-21,22:00,NO,No, ,No,Online with Facebook Live,Online with Facebook Live, , ,No ticket info,No website link, , ,https://scontent.fdel11-1.fna.fbcdn.net/v/t39.30808-6/257587477_134445498941663_2452483584540439333_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=b386c4&_nc_ohc=rjq9RPCg_EcAX8YH7LQ&_nc_ht=scontent.fdel11-1.fna&oh=20144c62d29e603654ae2447d90f6169&oe=61A2EAC6, , , ,https://www.facebook.com/events/429188635260241/
0,camara new york,camara video y audio, ,"['Online', 'Live video']", , , , , ,23-Nov-21,00:00,NO,No, ,No,Online with Facebook Live,Online with Facebook Live, , ,No ticket info,No website link, , ,https://scontent.fdel11-2.fna.fbcdn.net/v/t39.30808-6/p526x296/259497625_409889677350953_3696277412293720542_n.png?_nc_cat=107&ccb=1-5&_nc_sid=b386c4&_nc_ohc=P_w_i44vpmsAX8FHn2C&_nc_ht=scontent.fdel11-2.fna&oh=ad0790c9ea73470eddbfeeb412abf480&oe=61A28627, , , ,https://www.facebook.com/events/323835096249260/
0,50th New York City Marathon 2021,"VHV Organiseert een reis naar NYC voor lopers en supporters om de Marathon te lopen. Dit ten behoeve van Stichting Contact Hond.Disclaimer: Het event wordt georganiseerd door NYRR, en zij bepalen of het event in 2021 door zal gaan, door Covid19.", ,"['Causes', 'Online']", , , , , ,07-Nov-21,10:00,NO,No, ,No,YES,No location given, , ,No ticket info,No website link, , ,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/p526x296/122877769_3331402330242086_4827269483096245546_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=b386c4&_nc_ohc=GCLAm41oSXAAX9gdIEv&_nc_ht=scontent.fdel11-2.fna&oh=9e808276ee8455f8c4375330c379e21f&oe=61C1BE12, , , ,https://www.facebook.com/events/963896300769369/
0,New York Mocha Morning,"Free co-working and networking with like-minded local women in business.Our Mocha Mornings are perfect for women who want a natter and settle in for a morning of co-working. If you work from home or are a successful career woman who just needs to escape the office, then our Mocha Mornings are perfect for you.All welcome, there are no fees or charges but pre-booking is essential. You will be welcomed by the Mocha Morning leader. If you would like to be introduced to anyone in particular or a feeling a little shy let your leader know, she is there to support you in any way possible.We look forward to meeting you at a Mocha Morning, if you don't find one near to you why not start your own . We offer full support and training.", ,['Online'], , , , , ,2 d,es le,NO,No, ,No,No location given,No location given, , ,via Eventbrite,No website link, , ,https://scontent.fdel11-1.fna.fbcdn.net/v/t1.6435-9/s526x296/154595131_2824177131165401_5395479486907648419_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=b386c4&_nc_ohc=IhZsRVk19u4AX9ofWSc&_nc_ht=scontent.fdel11-1.fna&oh=16ad6d16b5559900fc9770aa3fac4477&oe=61C49914, , , ,https://www.facebook.com/events/1616191891902698/
0,Artexpo New York,artexpo New York, ,"['Art', 'Online']", , , , , ,28-Oct-21,18:00,NO,No, ,No,YES,No location, , ,No ticket info,https://www.agora-gallery.com/Invite/Ernest_Llinas.aspx, , ,https://scontent.fixj1-1.fna.fbcdn.net/v/t39.30808-6/s526x296/245066730_1691234997734398_3752596948296723603_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=b386c4&_nc_ohc=OmxyCS32g7UAX9dyKh1&_nc_ht=scontent.fixj1-1.fna&oh=ec5e8178a41d0e655575b318c793bc28&oe=61A19B02, , , ,https://www.facebook.com/events/3194710370756851/
0,New York Women's Business Lunch,"We are delighted to bring dynamic business networking to your area allowing you to connect with other businesswomen in your local community.Join us from 11:30 for our Business Lunch where we enjoy a lovely meal, an inspiring business talk and quality networking with other like-minded executives and entrepreneurs....................................................Program:11:30 Coffee & networking12:00 Introductions12:25 Member Spotlight12:30 Lunch13:00 Talk13:30 Wonderbra session14:00 End...................................................About Women's Business Club:Connecting, supporting and empowering Business Women.Join us for our Meetups and Mastermind Boardrooms across the globe....................................................Membership Info:We are a membership club and our lunches offer professional exclusivity, non-members may visit twice before deciding whether to join us. Find out more here ....................................................FAQs:Do I have to bring my printed ticket to the event?No we have your booking on our systemWhat is the refund policy?We can't offer refunds but you are welcome to send someone else in your place.", ,['Online'], , , , , ,2 d,es le,NO,No, ,No,No location given,No location given, , ,via Eventbrite,No website link, , ,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/s526x296/155270359_2824148111168303_711276541851888922_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=b386c4&_nc_ohc=gEhGULf7reEAX-Sk1ia&_nc_oc=AQk2Xffo9I8-CawXyRqwhOt-S-V_KsFLkjE9UUwNwZ5ZWVd5I4hhnFFKGB9-gNqtHBTnJ1FLf6lDsibXOGbhstdL&_nc_ht=scontent.fdel11-2.fna&oh=fbe20e475d0159e5263cf6c534ad8858&oe=61C1BBD7, , , ,https://www.facebook.com/events/2754220101483478/
