Index,title,Description,tag_list,Start Date,start Time,End Time,End Date,Durations,Online Event?,locations,website,ticket,img_src,Link to page
0,Ottawa International Reggae Festival,"OTTAWA INTERNATIONAL REGGAE FESTIVALSATURDAY - JULY 19-20, 2025PERFORMERS:ELEPHANT MANStay tuned for more artist announcements...GENERAL ADMISSION TICKETS: Very Early Advance $35, $45 Early Advance, $55 Advance & $65 AT THE GATEVIP: $149 (Front Stage Seating, Private Restaurant & Bar)VIP ALL INCLUSIVE :$299 (Front Stage Seating, Private Restaurant & Bar)Purchase online: http://ottawareggaefest.com/buy-tickets/1 Child under 12 years free accompanied by an adultGATES open at 11:00 am""The Ultimate Reggae Experience""http://ottawareggaefest.com/events, GET YOURS NOW BEFORE THEY ARE ALL GONE: CALL OIRF INFO LINE - 613.262.5412 OTTAWA TICKET LOCATIONSPili Pili Grilled Chicken – 205 Dalhousie St. – 613.695.7404Ocho Rios – 1800 Bank St #15 – 613.733.9999African Queen – 2430 Bank St. – 613.736.5369Savanah Foods – 1838 Bank St. – 613.731.7878Fades International – 1800 Bank St. – 613.737.3633Fades International – 597 Somerset St. W – 613.230.3233MONTREAL TICKET LOCATIONSTripple AAA Entertainment – 514.344.5353Johno Kuts – 85A Lafleur Ave. – 514.364.6516Front line – 4615 Ave Van Horne – 514.736.5720Mango Bay – 1236 Rue Mackay #201 – 514.875.7082Improved Cuts – 1475 Rue MacDonald – 514.334.0666TORONTO TICKET LOCATIONSDOWNTOWNPlay De Record – 411 Spadina Ave. – 416.586.0380WEST ENDTrejah Isle Records – 1514 Eglinton West – 416.787.7615Caribbean Queen – 3408 Weston Rd. – 416.746.8169BRAMPTONQueens Beauty Supply – 50 Sunnyvale Gate – 905.799.7703Gem’s House of Jerk – 9980 Airport Road – 905.494.0944Jamaica House Kitchens – 80 Pertosa – 905.460.0651Sunrise – 148 West Drive – 905.796.0777Sunrise – 80 Resolution Drive – 905.457.3049MISSISSAUGAGranny’s Place – 2545 Hurontario Street – 905.272.4950SCARBOROUGH2 Lined Music Hut – 31 Tapscott Rd. – 416.264.3999Class One Records – 271B Morningside Ave. – 416.208.0292 Email: info@ottawareggaefestival.caFollow us on:facebook.com/ottawareggaetwitter.com/ottawareggaeinstagram.com/ottawareggae","['Music', 'Dancehall', 'Reggae']",19 Jul 2025 ,11:00, 11:00 EDT,20Jul2025,Yes,"Ottawa, Ontario","Ottawa, Ontario",No website link,ottawareggaefest.com/buy-tickets,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/s720x720/30706921_1778174638902076_6592814540692389888_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=b386c4&_nc_ohc=wEQguGHfPasAX_acuko&_nc_ht=scontent.fdel11-2.fna&oh=03c5191ecf3d5e2736d6fc8815cf5d1a&oe=61BEAE4D,https://www.facebook.com/events/1320631927958012/
0,Hamilton in Ottawa - Official,"This is the official event page for the Ottawa engagement of HAMILTON at the National Arts Centre. Patrons interested in the Ottawa engagement of HAMILTON should be wary of fraudulent sources of information online and elsewhere. For more information, please visit https://ottawa.broadway.com/help/#hamilton",['Theatre'],"Wednesday, 5 January 2022 ", 20:00,23:00 EST,NO,NO,No location given,No location given,No website link,No ticket info,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/p526x296/60295468_3189057291119934_1855585103489531904_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=b386c4&_nc_ohc=bMjyTFoHnzsAX-dXwBP&_nc_ht=scontent.fdel11-2.fna&oh=462480b48d5aee07dc1aa54a8ae316a2&oe=61BE58C7,https://www.facebook.com/events/2033634956932414/
0,Ottawa Comiccon 2022 (Official),"* En français, défiler vers le bas*Ottawa Comiccon is a pop-culture fan convention that showcases artists and products from entertainment genres like: Sci-fi, Horror, Anime, Gaming in all its forms, and, of course, bande dessinée and comic books. It features a large array of exhibits with several companies demonstrating their wares and a few vehicles or set pieces from film or television are on display, a shopping experience like no other, aimed at fans that are looking for games, T-Shirts, comics, toys, statues, replicas and more collector items.Fans have the opportunity come to meet their favorite creators from the world of comics get their autographs, buy a sketch or thank them for their work. Additionally, one of the biggest draws, fans get to meet the personalities behind their favorite TV shows and movies. Celebrities participate in autograph sessions, photo opportunities and stage appearances that accommodate between 300 and 2000 fans.Fans are encouraged (but not obliged) to come dressed as their favourite pop culture characters, be they from movies, TV, video games or comics. It culminates at the Masquerade, the big costuming competition that brings in judges from across the globe, over 50 competitors, and close to 2000 fans to cheer them on when they hit the big stage.Over the course of three days, fans are treated to over 50 different panel discussions and workshops that help further promote comics, costuming, gaming and pop culture in general.*En français*Le Comiccon d'Ottawa est un événement destiné aux amateurs de culture populaire à l’occasion duquel ces derniers ont la chance de rencontrer des artistes et de voir un large éventail de produits issus de l’univers du divertissement : science-fiction, horreur, anime, jeux vidéo sous toutes leurs formes et, bien sûr, bandes dessinées et comic books. On y trouve une grande diversité d’exposants, notamment des entreprises qui y présentent leurs marchandises, ainsi que des véhicules ou d’autres éléments marquants de films ou de séries télévisées. Il s’agit d’une occasion unique pour les collectionneurs de trouver le tee-shirt, le comic book, le jouet, la figurine, ou la réplique dont ils rêvent.Les aficionados de comic books et de bandes dessinées ont quant à eux la chance de rencontrer leurs artistes préférés, de demander leur autographe, d’acheter un dessin ou de les remercier pour leur travail. L’un des points marquants de l’événement est certes la possibilité pour les visiteurs de rencontrer les artisans mêmes de leur émission de télé ou de leur film préféré. Les vedettes participent à des séances de photo et de signature d’autographes, et donnent des conférences accueillant de 300 à 2 000 personnes.On encourage les visiteurs (sans les obliger, toutefois) à se costumer sous les traits de leur icône de la culture populaire préférée (cinéma, télé, jeu vidéo ou comic book, par exemple). Le défilé de costumes atteint son apogée lors de la mascarade, grand concours de costumes présidé par des juges venus des quatre coins du monde qui notent plus de 40 concurrents devant les encouragements de près de 2 000 amateurs réunis pour l’occasion.Pendant les trois jours de l’événement, les visiteurs sont invités à plus de 50 groupes de discussion et ateliers visant la promotion des comic books, des costumes, des jeux vidéo et de la culture populaire en général.","['Art', 'Child-friendly', 'Comic book']",9 Sep 2022 ,12:00, 17:00 EDT,11Sep2022,Yes,EY Centre,EY Centre,No website link,No ticket info,https://scontent.fdel11-1.fna.fbcdn.net/v/t39.30808-6/p526x296/228229629_4442905159102487_6779212984647110249_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=b386c4&_nc_ohc=yxhrO3gibr4AX_k5s_9&_nc_ht=scontent.fdel11-1.fna&oh=a24d0f5f0cd474ad79e815fb8c014a3f&oe=619DC712,https://www.facebook.com/events/2392575057681141/
0,Ottawa V Con 2021,"Ottawa first fully functional virtual comic con. Meet with your favortie Dragonball z voice actors from Vic Mignogna , Chuck Huber, and Stephanie Nadolny. We have have amazing vendors, board game, yu gi oh, and magic tournaments. Sponsored by GeekyourselfoutEvent starts To be anouncedSaturday 11:00 am- 400 pmSunday   11:00 am- 400pmTickets avalible now https://events.com/r/en_US/tickets/ottawa-v-con-2021-801472Supporting the Charity @Abilityfirstottawa","['Games', 'Online']",29 Oct 2022 ,11:00, 16:00 EDT,30Oct2022,Yes,YES,No location given,No website link,events.com/r/en_US/tickets/ottawa-v-con-2021-801472,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/s552x414/159169941_244005260762324_824356236086804939_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=b386c4&_nc_ohc=7vTTq2HSePIAX8Ai24I&_nc_ht=scontent.fdel11-2.fna&oh=0e5aa92faca68ad6d808896882e22db3&oe=61C00761,https://www.facebook.com/events/412418379818072/
0,Ottawa INTL CLASH,No Description given ,[],"Saturday, 8 October 2022 ", 21:00,04:00 EDT,NO,NO,"Ottawa, Ontario","Ottawa, Ontario",No website link,No ticket info,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/79356175_2708657009229230_5094016283196784640_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=b386c4&_nc_ohc=-jHl2LaMFjwAX-0iGDo&_nc_ht=scontent.fdel11-2.fna&oh=7cf8bed4fb6e21b340fe89177819d188&oe=61BC44D7,https://www.facebook.com/events/586641575486522/
0,Hamilton in Ottawa - Official,"This is the official event page for the Ottawa engagement of HAMILTON at the National Arts Centre. Patrons interested in the Ottawa engagement of HAMILTON should be wary of fraudulent sources of information online and elsewhere. For more information, please visit https://ottawa.broadway.com/help/#hamilton",['Theatre'],"Tuesday, 11 January 2022 ", 20:00,23:00 EST,NO,NO,No location given,No location given,No website link,No ticket info,https://scontent.fdel11-1.fna.fbcdn.net/v/t1.6435-9/p526x296/60043168_3189076494451347_2537649296191258624_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=b386c4&_nc_ohc=RlZSkn0dks0AX_j4t4S&_nc_ht=scontent.fdel11-1.fna&oh=ab3cdfcadab62c809e5f1a1995f880ce&oe=61BCFAA8,https://www.facebook.com/events/435169460391269/
0,Hamilton in Ottawa - Official,"This is the official event page for the Ottawa engagement of HAMILTON at the National Arts Centre. Patrons interested in the Ottawa engagement of HAMILTON should be wary of fraudulent sources of information online and elsewhere. For more information, please visit https://ottawa.broadway.com/help/#hamilton",['Theatre'],"Thursday, 13 January 2022 ", 20:00,23:00 EST,NO,NO,No location given,No location given,No website link,No ticket info,https://scontent.fdel11-2.fna.fbcdn.net/v/t1.6435-9/p526x296/59860444_3189080124450984_5623273197433520128_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=b386c4&_nc_ohc=ZFswdjqmxmkAX_fKzdE&_nc_ht=scontent.fdel11-2.fna&oh=be44251a2562cc24a0623a5ff5576fa6&oe=61BE43A7,https://www.facebook.com/events/452196895444779/
0,Ottawa New Years Eve Party 2021,No Description given ,[],"Friday, 31 December 2021 ", 22:00,02:00 EST,NO,NO,"Ottawa, Ontario","Ottawa, Ontario",No website link,No ticket info,https://scontent.fdel11-1.fna.fbcdn.net/v/t15.5256-10/p526x296/106421463_1182623152114416_6919251464187648837_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=ed1892&_nc_ohc=aT5i33EWF4AAX81Hpge&_nc_ht=scontent.fdel11-1.fna&oh=4fdd270f034b8e1b60f21b161a0b7fa2&oe=619DA475,https://www.facebook.com/events/2685308141534252/
0,Afrofest Ottawa 2021,"AfroFest Ottawa is a free, yearly Music and Arts festival that showcases the best of African culture and entertainment in the nation’s Capital.This festival gives all Canadians a chance to experience the beauty and wonder of African culture and expression. It promotes a sense of integration and representation for African Canadians, and celebrates a culture that is often misunderstood or undervalued.This festival highlights local artists who struggle to find opportunities to showcase themselves in the Ottawa music scene, and provides artisans of African fashion, goods and crafts with a chance to display their wares.There is also a place for authentic African cuisine food vendors and restaurants to promote their businesses, sample and sell their food.With live performances from both local and international artists, children's activities and fashion shows, this is a festival the whole family can enjoy.Last year was our first edition and because of the restrictions due to COVID-19, we had to produce an online festival.This year, we are happy to announce that we will be hosting a in person festival at our well known beach in OTTAWA ""Mooney's Bay"" on September 4TH and 5TH.Come have fun while discovering local talents and diverse African culture at our free festival.THIS IS A FREE FESTIVAL BUT PLEASE WATCH OUT FOR THE FREE TICKET LINK SO YOU CAN YOUR FREE TICKET TO THE FESTIVAL!!PS: If for any reason, social gathering ca","['Music', 'Online']","Saturday, 4 September 2021 ", 22:00,07:00 UTC+06about 2 months ago,NO,NO,YES,No location given,No website link,No ticket info,https://scontent.fdel11-2.fna.fbcdn.net/v/t39.30808-6/p235x350/237218941_153503780259827_7514346300178670504_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=b386c4&_nc_ohc=OdQokOTm7c4AX96ah-f&_nc_ht=scontent.fdel11-2.fna&oh=2a9ee468ff36a5eb1007a588c1b70122&oe=619DC0E1,https://www.facebook.com/events/421810739227135/
0,BADBADNOTGOOD - Ottawa,BADBADNOTGOOD: Talk Memory Tourand guests TBAlicensed 19+ - 7pm doorspublic onsale Fri Sep 14 at 10am here: https://bit.ly/3l8nvXa and at Vertigo Records at 11amFan Club presale Sep 14 10amSpotify presale Sept 15 10amspectrasonic presale Sept 16 10am(join our mailing list by emailing mailerATspectrasonicDOTcom for a passcode)presented with the support of Ontario Creates-----@spectrasonic on Instagram/Twitter/Facebook,"['Music', 'Online', 'Live video']","urday, 18 December 2021 ", 19:00 EST,NO,No,Yes,Online with Facebook Live,Online with Facebook Live,No website link,No ticket info,https://scontent.fdel11-1.fna.fbcdn.net/v/t39.30808-6/s526x296/242495264_100785799035153_3159136470840448015_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=b386c4&_nc_ohc=iM3w2ALYLo8AX_49C64&_nc_ht=scontent.fdel11-1.fna&oh=ea2609840a6d30847dd663c7b041efc5&oe=619DDB74,https://www.facebook.com/events/370177648167332/
